date,blm,tweet_count
2016-05-07,Yes,7
2016-05-08,Yes,4
2016-05-09,Yes,1
2016-05-10,Yes,3
2016-05-11,Yes,1
2016-05-12,Yes,0
2016-05-13,Yes,0
2016-05-14,Yes,2
2016-05-15,Yes,0
2016-05-16,Yes,0
2016-05-17,Yes,0
2016-05-18,Yes,0
2016-05-19,Yes,3
2016-05-20,Yes,4
2016-05-21,Yes,1
2016-05-22,Yes,1
2016-05-23,Yes,10
2016-05-24,Yes,0
2016-05-25,Yes,1
2016-05-26,Yes,0
2016-05-27,Yes,0
2016-05-28,Yes,0
2016-05-29,Yes,0
2016-05-30,Yes,0
2016-05-31,Yes,0
2016-06-01,Yes,0
2016-06-02,Yes,0
2016-06-03,Yes,2
2016-06-04,Yes,0
2016-06-05,Yes,0
2016-06-06,Yes,1
2016-06-07,Yes,0
2016-06-08,Yes,0
2016-06-09,Yes,0
2016-06-10,Yes,0
2016-06-11,Yes,0
2016-06-12,Yes,1
2016-06-13,Yes,0
2016-06-14,Yes,0
2016-06-15,Yes,0
2016-06-16,Yes,0
2016-06-17,Yes,1
2016-06-18,Yes,0
2016-06-19,Yes,1
2016-06-20,Yes,3
2016-06-21,Yes,0
2016-06-22,Yes,1
2016-06-23,Yes,3
2016-06-24,Yes,0
2016-06-25,Yes,0
2016-06-26,Yes,0
2016-06-27,Yes,0
2016-06-28,Yes,0
2016-06-29,Yes,0
2016-06-30,Yes,0
2016-07-01,Yes,0
2016-07-02,Yes,0
2016-07-03,Yes,0
2016-07-04,Yes,1
2016-07-05,Yes,0
2016-07-06,Yes,472
2016-07-07,Yes,386
2016-07-08,Yes,60
2016-07-09,Yes,15
2016-07-10,Yes,27
2016-07-11,Yes,16
2016-07-12,Yes,12
2016-07-13,Yes,19
2016-07-14,Yes,2
2016-07-15,Yes,1
2016-07-16,Yes,3
2016-07-17,Yes,10
2016-07-18,Yes,4
2016-07-19,Yes,3
2016-07-20,Yes,7
2016-07-21,Yes,4
2016-07-22,Yes,8
2016-07-23,Yes,1
2016-07-24,Yes,1
2016-07-25,Yes,0
2016-07-26,Yes,41
2016-07-27,Yes,9
2016-07-28,Yes,3
2016-07-29,Yes,1
